name1.name,name1.name_type,name1.taxon
1413767,1,2275
7969793,1,2052
4771617,1,1789
4771618,1,1790
2061196,1,2095
8142925,1,2096
2089286,1,1962
1075691,1,1740
1075692,1,1741
7857,1,1752
1045882,1,1753
2083405,1,1933
2083429,1,1934
2086528,1,1969
7825135,1,1970
8499,1,1991
2052552,1,1992
2052566,1,1993
2056470,1,1905
8144750,1,1906
2087546,1,1938
2087713,1,1939
8253812,1,1940
2054545,1,1899
5156511,1,1900
3260090,1,1679
1194463,1,1705
1191527,1,1715
4238,1,1642
1171596,1,1643
1171601,1,1644
1048170,1,1675
4990564,1,1676
4732523,1,1683
4404673,1,2032
7747800,1,2033
1897886,1,2196
7733971,1,2192
1910629,1,2193
1862288,1,2216
1862290,1,2218
8555,1,2255
1716116,1,2256
8859,1,2198
1240215,1,1701
5021658,1,1702
2054154,1,1903
2054155,1,1904
1862293,1,2217
1862420,1,2220
1862478,1,2222
2095250,1,2077
2009188,1,2024
2009189,1,2025
2045002,1,1846
4775334,1,1847
2012140,1,1787
2012142,1,1788
1946375,1,2150
5142067,1,2151
1779516,1,2167
2130146,1,1636
1862475,1,2221
1923809,1,2157
1886119,1,2121
1886126,1,2122
1886150,1,2123
8776865,1,1695
8109351,1,2173
4534659,1,2174
1792564,1,2175
1880172,1,2134
5126635,1,2135
4391707,1,1797
1890318,1,2118
4687217,1,2129
115067145,1,1673
115067147,1,1674
2058188,1,1852
1884425,1,2138
1884437,1,2139
9179657,1,2000
3262827,1,1684
8722465,1,1685
2042790,1,1834
1890336,1,2117
3258127,1,2124
1922270,1,2155
2760990,1,2340
2984,1,2412
2082512,1,1976
7703477,1,1974
4485136,1,1800
9078997,1,1884
5771877,1,2125
7953279,1,1858
9198247,1,1927
7543006,1,2130
8871813,1,2171
1787009,1,2172
1888171,1,2140
1888213,1,2141
3177662,1,2401
7907394,1,2402
